title,journal,journal_lower,date,authors,abstract,doi,pmid,Rank,Title
Coordination of selenium to molybdenum in formate dehydrogenase H from Escherichia coli,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,1994-Aug,"['Gladyshev VN', 'Khangulov SV', 'Axley MJ', 'Stadtman TC']","Formate dehydrogenase H from Escherichia coli contains multiple redox centers, which include a molybdopterin cofactor, an iron-sulfur center, and a selenocysteine residue (SeCys-140 in the polypeptide chain) that is essential for catalytic activity. Here we show that addition of formate to the native enzyme induces a signal typical of Mo(V) species. This signal is detected by electron paramagnetic resonance (EPR) spectroscopy. Substitution of 77Se for natural isotope abundance Se leads to transformation of this signal, indicating a direct coordination of Se with Mo. Mutant enzyme with cysteine substituted at position 140 for the selenocysteine residue has decreased catalytic activity and exhibits a different EPR signal. Since determination of the Se content of wild-type enzyme indicates approximately 1 gram atom per mol, we conclude that it is the Se atom of the SeCys-140 residue in the protein that is coordinated directly with Mo. The amino acid sequence flanking the selenocysteine residue in formate dehydrogenase H is similar to a conserved sequence found in several other prokaryotic molybdopterin-dependent enzymes. In most of these other enzymes a cysteine residue, or in a few cases a serine or a selenocysteine residue, occurs in the position corresponding to SeCys-140 of formate dehydrogenase H. By analogy with formate dehydrogenase H in these other enzymes, at least one of the ligands to Mo should be provided by an amino acid residue of the protein. This ligand could be the Se of a selenocysteine residue, sulfur of a cysteine residue, or, in the case of a serine residue, oxygen.",10.1073/pnas.91.16.7708,8052647,444.0,Proceedings of the National Academy of Sciences of the United States of America
Nicotinic acid hydroxylase from Clostridium barkeri: electron paramagnetic resonance studies show that selenium is coordinated with molybdenum in the catalytically active selenium-dependent enzyme,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,1994-Jan,"['Gladyshev VN', 'Khangulov SV', 'Stadtman TC']","Nicotinic acid hydroxylase from Clostridium barkeri contains selenium in an unidentified form that is dissociated as a low molecular weight compound upon denaturation of the enzyme. Other cofactors of this enzyme are molybdopterin, FAD, and iron-sulfur clusters. In the current study, we show that the enzyme, as isolated, exhibits a stable Mo(V) electron paramagnetic resonance (EPR) signal (""resting"" signal) and that this signal is correlated with the selenium content and nicotinate hydroxylase activity of the enzyme. Substitution of 77Se for normal selenium isotope abundance results in splitting of the Mo(V) EPR signal of the native protein without affecting the iron signals of the FeS clusters. The Mo(V) EPR signal and nicotinic acid hydroxylase activity of enzyme isolated from cells grown in selenium-deficient medium are barely detectable. In contrast, the EPR signals of the FeS clusters, the electronic absorption spectrum, the NADPH oxidase activity, and the chromatographic behavior are changed little and are typical of active selenium-containing enzyme. An EPR signal indicative of the presence of molybdenum in the selenium-deficient enzyme also is exhibited. From these results, we conclude that a dissociable selenium moiety is coordinated directly with molybdenum in the molybdopterin cofactor and, moreover, this selenium is essential for nicotinic acid hydroxylase activity.",10.1073/pnas.91.1.232,8278371,444.0,Proceedings of the National Academy of Sciences of the United States of America
The mutual sparing effects of selenium and vitamin E in animal nutrition may be further explained by the discovery that mammalian thioredoxin reductase is a selenoenzyme,"BioFactors (Oxford, England)","biofactors (oxford, england)",1995-1996,"['Tamura T', 'Gladyshev V', 'Liu SY', 'Stadtman TC']","The recent discovery that mammalian thioredoxin reductase is a selenoprotein furnishes an additional explanation of the mutual sparing roles of selenium and vitamin E in cellular antioxidant systems. Thioredoxin reductases isolated from human lung adenocarcinoma cells, human Jurkat T-cells and HeLa cells contain selenocysteine which is located in a C-terminal tripeptide, -Cys-SeCys-Gly.",,8722124,,
"Selenocysteine, identified as the penultimate C-terminal residue in human T-cell thioredoxin reductase, corresponds to TGA in the human placental gene",Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,1996-Jun,"['Gladyshev VN', 'Jeang KT', 'Stadtman TC']","The possible relationship of selenium to immunological function which has been suggested for decades was investigated in studies on selenium metabolism in human T cells. One of the major 75Se-labeled selenoproteins detected was purified to homogeneity and shown to be a homodimer of 55-kDa subunits. Each subunit contained about 1 FAD and at least 0.74 Se. This protein proved to be thioredoxin reductase (TR) on the basis of its catalytic activities, cross-reactivity with anti-rat liver TR antibodies, and sequence identities of several tryptic peptides with the published deduced sequence of human placental TR. Physicochemical characteristics of T-cell TR were similar to those of a selenocysteine (Secys)-containing TR recently isolated from human lung adenocarcinoma cells. The sequence of a 12-residue 75Se-labeled tryptic peptide from T-cell TR was identical with a C-terminal-deduced sequence of human placental TR except that Secys was present in the position corresponding to TGA, previously thought to be the termination codon, and this was followed by Gly-499, the actual C-terminal amino acid. The presence of the unusual conserved Cys-Secys-Gly sequence at the C terminus of TR in addition to the redox active cysteines of the Cys-Val-Asn-Val-Gly-Cys motif in the FAD-binding region may account for the peroxidase activity and the relatively low substrate specificity of mammalian TRs. The finding that T-cell TR is a selenoenzyme that contains Se in a conserved C-terminal region provides another example of the role of selenium in a major antioxidant enzyme system (i.e., thioredoxin-thioredoxin reductase), in addition to the well-known glutathione peroxidase enzyme system.",10.1073/pnas.93.12.6146,8650234,444.0,Proceedings of the National Academy of Sciences of the United States of America
Properties of the selenium- and molybdenum-containing nicotinic acid hydroxylase from Clostridium barkeri,Biochemistry,biochemistry,1996-Jan,"['Gladyshev VN', 'Khangulov SV', 'Stadtman TC']","NADP(+)-coupled nicotinic acid hydroxylase (NAH) has been purified to near-homogeneity from Clostridium barkeri by an improved purification scheme that allowed the isolation of milligram amounts of enzyme of higher specific activity then previously reported. NAH is most stable at alkaline pH in the presence of glycerol. The protein which consists of four dissimilar subunits occurs in forms of different molecular masses. There are 5-7 Fe, 1 FAD, and 1 Mo per 160 kDa protein promoter. Mo in the enzyme is bound to a dinucleotide form of molybdopterin and is coordinated with selenium. Mo(V), flavin radical, and two Fe2S2 clusters could be observed with EPR spectroscopy. The Se cofactor which is essential for nicotinic acid hydroxylase activity could be released from NAH as a reactive low molecular weight compound by a number of denaturing procedures. Parallel losses of Se and catalytic activity were observed during purification and storage of the enzyme. Addition of sodium selenide or selenophosphate did not restore the catalytic activity of the enzyme. Instead, NAH is reversibly inactivated by these compounds and also by sulfide. Cyanide, a common inhibitor of Mo-containing hydroxylases, does not affect NAH catalytic activity. The ""as isolated"" enzyme exhibits a Mo(V) EPR signal (2.067 signal) that was detected at early stages of purification. NAH exhibits a high substrate specificity toward electron donor substrates. The ability of a nicotinate analog to reduce NAH (disappearance of 2.067 signal) correlates with the rate of oxidation of the analog in the standard assay mixture. The properties of NAH differentiate the enzyme from known Mo-containing hydroxylases.",10.1021/bi951793i,8555176,4134.0,Biochemistry
"Characterization of crystalline formate dehydrogenase H from Escherichia coli. Stabilization, EPR spectroscopy, and preliminary crystallographic analysis",The Journal of biological chemistry,the journal of biological chemistry,1996-Apr,"['Gladyshev VN', 'Boyington JC', 'Khangulov SV', 'Grahame DA', 'Stadtman TC', 'Sun PD']","The selenocysteine-containing formate dehydrogenase H (FDH) is an 80-kDa component of the Escherichia coli formate-hydrogen lyase complex. The molybdenum-coordinated selenocysteine is essential for catalytic activity of the native enzyme. FDH in dilute solutions (30 microg/ml) was rapidly inactivated at basic pH or in the presence of formate under anaerobic conditions, but at higher enzyme concentrations (>/=3 mg/ml) the enzyme was relatively stable. The formate-reduced enzyme was extremely sensitive to air inactivation under all conditions examined. Active formate-reduced FDH was crystallized under anaerobic conditions in the presence of ammonium sulfate and PEG 400. The crystals diffract to 2.6 A resolution and belong to a space group of P4(1)2(1)2 or P4(3)2(1)2 with unit cell dimensions a = b = 146.1 A and c = 82.7 A. There is one monomer of FDH per crystallographic asymmetric unit. Similar diffraction quality crystals of oxidized FDH could be obtained by oxidation of crystals of formate-reduced enzyme with benzyl viologen. By EPR spectroscopy, a signal of a single reduced FeS cluster was found in a crystal of reduced FDH, but not in a crystal of oxidized enzyme, whereas Mo(V) signal was not detected in either form of crystalline FDH. This suggests that Mo(IV)- and the reduced FeS cluster-containing form of the enzyme was crystallized and this could be converted into Mo(VI)- and oxidized FeS cluster form upon oxidation. A procedure that combines anaerobic and cryocrystallography has been developed that is generally applicable to crystallographic studies of oxygen-sensitive enzymes. These data provide the first example of crystallization of a substrate-reduced form of a Se- and Mo-containing enzyme.",10.1074/jbc.271.14.8095,8626495,,
"Crystal structure of formate dehydrogenase H: catalysis involving Mo, molybdopterin, selenocysteine, and an Fe4S4 cluster","Science (New York, N.Y.)","science (new york, n.y.)",1997-Feb,"['Boyington JC', 'Gladyshev VN', 'Khangulov SV', 'Stadtman TC', 'Sun PD']","Formate dehydrogenase H from Escherichia coli contains selenocysteine (SeCys), molybdenum, two molybdopterin guanine dinucleotide (MGD) cofactors, and an Fe4S4 cluster at the active site and catalyzes the two-electron oxidation of formate to carbon dioxide. The crystal structures of the oxidized [Mo(VI), Fe4S4(ox)] form of formate dehydrogenase H (with and without bound inhibitor) and the reduced [Mo(IV), Fe4S4(red)] form have been determined, revealing a four-domain alphabeta structure with the molybdenum directly coordinated to selenium and both MGD cofactors. These structures suggest a reaction mechanism that directly involves SeCys140 and His141 in proton abstraction and the molybdenum, molybdopterin, Lys44, and the Fe4S4 cluster in electron transfer.",10.1126/science.275.5304.1305,9036855,,
Selenium-containing formate dehydrogenase H from Escherichia coli: a molybdopterin enzyme that catalyzes formate oxidation without oxygen transfer,Biochemistry,biochemistry,1998-Mar,"['Khangulov SV', 'Gladyshev VN', 'Dismukes GC', 'Stadtman TC']","Formate dehydrogenase H, FDH(Se), from Escherichia coli contains a molybdopterin guanine dinucleotide cofactor and a selenocysteine residue in the polypeptide. Oxidation of 13C-labeled formate in 18O-enriched water catalyzed by FDH(Se) produces 13CO2 gas that contains no 18O-label, establishing that the enzyme is not a member of the large class of Mo-pterin-containing oxotransferases which incorporate oxygen from water into product. An unusual Mo center of the active site is coordinated in the reduced Mo(IV) state in a square pyramidal geometry to the four equatorial dithiolene sulfur atoms from a pair of pterin cofactors and a Se atom of the selenocysteine-140 residue [Boyington, J. C., Gladyshev, V. N., Khangulov, S. V., Stadtman, T. C., and Sun, P. D. (1997) Science 275, 1305-1308]. EPR spectroscopy of the Mo(V) state indicates a square pyramidal geometry analogous to that of the Mo(IV) center. The strongest ligand field component is likely the single axial Se atom producing a ground orbital configuration Mo(dxy). The Mo-Se bond was estimated to be covalent to the extent of 17-27% of the unpaired electron spin density residing in the valence 4s and 4p selenium orbitals, based on comparison of the scalar and dipolar hyperfine components to atomic 77Se. Two electron oxidation of formate by the Mo(VI) state converts Mo to the reduced Mo(IV) state with the formate proton, Hf+, transferring to a nearby base Y-. Transfer of one electron to the Fe4S4 center converts Mo(IV) to the EPR detectable Mo(V) state. The Y- is located within magnetic contact to the [Mo-Se] center, as shown by its strong dipolar 1Hf hyperfine couplings. Photolysis of the formate-induced Mo(V) state abolishes the 1Hf hyperfine splitting from YHf, suggesting photoisomerizaton of this group or phototransfer of the proton to a more distant proton acceptor group A-. The minor effect of photolysis on the 77Se-hyperfine interaction with [77Se] selenocysteine suggests that the Y- group is not the Se atom, but instead might be the imidazole ring of the His141 residue which is located in the putative substrate-binding pocket close to the [Mo-Se] center. We propose that the transfer of Hf+ from formate to the active site base Y- is thermodynamically coupled to two-electron oxidation of the formate molecule, thereby facilitating formation of CO2. Under normal physiological conditions, when electron flow is not limited by the terminal acceptor of electrons, the energy released upon oxidation of Mo(IV) centers by the Fe4S4 is used for deprotonation of YHf and transfer of Hf+ against the thermodynamic potential.",10.1021/bi972177k,9521673,4134.0,Biochemistry
"Contrasting patterns of regulation of the antioxidant selenoproteins, thioredoxin reductase, and glutathione peroxidase, in cancer cells",Biochemical and biophysical research communications,biochemical and biophysical research communications,1998-Oct,"['Gladyshev VN', 'Factor VM', 'Housseau F', 'Hatfield DL']","There is strong evidence that selenium protects against certain human cancers, but the underlying mechanism is unknown. Glutathione peroxidase (GPX1) and thioredoxin reductase (TR), the most abundant antioxidant selenium-containing proteins in mammals, have been implicated in this protection. We analyzed the expression of TR and GPX1 in the following model cancer systems: (1) liver tumors in TGFalpha/c-myc transgenic mice; (2) human prostate cell lines from normal and cancer tissues; and (3) p53-induced apoptosis in a human colon cancer cell line. TR was induced while GPX1 was repressed in malignancies relative to controls in transgenic mice and prostate cell lines. In the colon cell line, p53 expression resulted in elevated GPX1, but repressed TR. The data indicate that TR and GPX1 are regulated in a contrasting manner in the cancer systems tested and reveal the p53-dependent regulation of selenoprotein expression. The data suggest that additional studies on selenoprotein regulation in different cancers are required to evaluate future implementation of selenium as a dietary supplement in individuals at risk for developing certain cancers.",10.1006/bbrc.1998.9495,9792801,6580.0,Biochemical and Biophysical Research Communications
"A new human selenium-containing protein. Purification, characterization, and cDNA sequence",The Journal of biological chemistry,the journal of biological chemistry,1998-Apr,"['Gladyshev VN', 'Jeang KT', 'Wootton JC', 'Hatfield DL']","Selenium which occurs in proteins as the amino acid, selenocysteine, is essential for numerous biological processes and for human health. A prominent 75Se-labeled protein detected in human T-cells migrated as a 15-kDa band by SDS-polyacrylamide gel electrophoresis. This protein subunit was purified and subjected to tryptic digestion and peptide sequence analyses. Sequences of tryptic peptides derived from the protein corresponded to a human placental gene sequence containing an open reading frame of 162 residues and a readthrough in-frame TGA codon. Three different peptide sequences of the 15-kDa protein corresponded to a nucleotide sequence located downstream of this codon, suggesting that the T-cell 15-kDa selenoprotein contains a selenocysteine residue encoded by TGA. Post-translational processing of the N-terminal portion of the predicted gene product to give the 15-kDa protein was suggested on the basis of molecular mass, amino acid analysis, and immunoblot assays of the purified protein. The 3'-untranslated region (UTR) of the gene encoding the 15-kDa protein contained a sequence that is very similar to the canonical selenocysteine-inserting sequence element. Computer analysis of transcript map data bases indicated that this gene was located on human chromosome 1. Its coding sequence showed no homology to known protein-encoding genes. The 15-kDa protein gene was expressed as mRNA in a wide range of tissues, with increased levels in the thyroid, parathyroid, and prostate-derived cells as evidenced by searches of partial cDNA sequences in public data bases. Genes corresponding to the 15-kDa selenocysteine-containing protein were found in mice and rats, while the corresponding genes in Caenorhabditis elegans and Brugia malayi contained a cysteine codon in place of TGA. The discovery of a new human selenoprotein provides an additional example of the role of selenium in mammalian systems.",10.1074/jbc.273.15.8910,9535873,,
